n.id,name_node_a,id_node_b,name_node_b,id_relationship
c218987b1ee446bc335063c30f969527-a87ff679a2f3e71d9181a67b7542122c,IAM,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,336ab4d75678b1453730b9ad1a56f14c-a87ff679a2f3e71d9181a67b7542122c
e1e6e431336c9bfebb04382fce1343fe-a87ff679a2f3e71d9181a67b7542122c,Lambda,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,fe8127395a48736d36075674e08b2a04-a87ff679a2f3e71d9181a67b7542122c
dc20dfd264b9224d2ea12f26955b082f-a87ff679a2f3e71d9181a67b7542122c,EMR,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,0e5a71c9ab5d6dbc97d4ec680a833e6c-a87ff679a2f3e71d9181a67b7542122c
43b6f263edd9539008d17939797e828c-a87ff679a2f3e71d9181a67b7542122c,Golden Gate,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,16a4800f7e663cfea0dcce2bc73cb306-a87ff679a2f3e71d9181a67b7542122c
9e2c0a7746662a43ed60aacaa834626c-a87ff679a2f3e71d9181a67b7542122c,Cask,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,9374adfdd4d47aa8356258e896e92e3f-a87ff679a2f3e71d9181a67b7542122c
b28b76d463b7bd1a2bdf037cec627f04-a87ff679a2f3e71d9181a67b7542122c,Azkaban,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,d6a07bfa2382ed292ade8fcbfe9d9e00-a87ff679a2f3e71d9181a67b7542122c
e540288494ff8c412c83ad12833fa63e-a87ff679a2f3e71d9181a67b7542122c,Luigi,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,6efc5495b205abfddc3edb67a55366e8-a87ff679a2f3e71d9181a67b7542122c
e1e8ce3faf08dd3c935ef958ab7214bb-a87ff679a2f3e71d9181a67b7542122c,Airflow,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,099fa6035a5eab7a8dcb3f7c29b9cb78-a87ff679a2f3e71d9181a67b7542122c
9b79bf80b0702b2d21bf0da46b111684-a87ff679a2f3e71d9181a67b7542122c,MS SSIS,263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,d41a03df4ac92788d947ca72cc209ec7-a87ff679a2f3e71d9181a67b7542122c
deafefd874acdccf7a2c9c1d235ecf62-a87ff679a2f3e71d9181a67b7542122c,SO,c064dffb1a0f1a937b56ee9c0c0a0b9c-a87ff679a2f3e71d9181a67b7542122c,unix,f97a9b3e06fb045d95c828de4bb783a1-a87ff679a2f3e71d9181a67b7542122c
deafefd874acdccf7a2c9c1d235ecf62-a87ff679a2f3e71d9181a67b7542122c,SO,342c8909ccc271dbb9d83e960fd04b00-a87ff679a2f3e71d9181a67b7542122c,windows,21bf7464dd015d968033e9e97a29e169-a87ff679a2f3e71d9181a67b7542122c
deafefd874acdccf7a2c9c1d235ecf62-a87ff679a2f3e71d9181a67b7542122c,SO,a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,05c6bcf0d302177e0dbb66fedd88876f-a87ff679a2f3e71d9181a67b7542122c
52dcc954f0e2235ecd4675e7966ec6ef-a87ff679a2f3e71d9181a67b7542122c,Contenedores,a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,99fd7316d5617cf4f06f06c28b55fbfd-a87ff679a2f3e71d9181a67b7542122c
3c52acae246e2af61b21a3b6e63c0b49-a87ff679a2f3e71d9181a67b7542122c,NoSQL,033b8b21e9a6bb06969eaf9e9f5b3abd-a87ff679a2f3e71d9181a67b7542122c,In-memory,3d7709430085375e6fa22f9a0b4409d0-a87ff679a2f3e71d9181a67b7542122c
3c52acae246e2af61b21a3b6e63c0b49-a87ff679a2f3e71d9181a67b7542122c,NoSQL,09d037be8031bba8db90fb2f69c150e0-a87ff679a2f3e71d9181a67b7542122c,Columnares,d09e7ec1176abdda9fef818959a56236-a87ff679a2f3e71d9181a67b7542122c
3c52acae246e2af61b21a3b6e63c0b49-a87ff679a2f3e71d9181a67b7542122c,NoSQL,9cf5401ebe52d0560ad1e4ae0809e4bb-a87ff679a2f3e71d9181a67b7542122c,Documentales,3e1ca95f8619b6c80ed7baffd31f876d-a87ff679a2f3e71d9181a67b7542122c
a84fbcb117201786a2fdf9f4ca0d72c1-a87ff679a2f3e71d9181a67b7542122c,Data warehouse,a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,4b82393ee24917d35a53d86b1e1ca5a5-a87ff679a2f3e71d9181a67b7542122c
fdbea0fad95c6f981f32120701d8f1d3-a87ff679a2f3e71d9181a67b7542122c,MariaDB,385f6a804a0f4eb24d745b82fe5cc9cf-a87ff679a2f3e71d9181a67b7542122c,Relacionales,c06c37484145f907d12dc0f5ca70454d-a87ff679a2f3e71d9181a67b7542122c
2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,385f6a804a0f4eb24d745b82fe5cc9cf-a87ff679a2f3e71d9181a67b7542122c,Relacionales,f1c41c862ec6dd68a081c85e5947c4b7-a87ff679a2f3e71d9181a67b7542122c
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,17fc99d3f691680db18b948f4b9a4547-a87ff679a2f3e71d9181a67b7542122c,AWS Lambda,a63b28adb5164226947f8c53c7e7672c-a87ff679a2f3e71d9181a67b7542122c
e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,31985bb925fa449ee8d01350cb2f008d-a87ff679a2f3e71d9181a67b7542122c,AWS Kinesis,01c56cf8d081a9e5220c5e4d3b88d363-a87ff679a2f3e71d9181a67b7542122c
